,Unnamed: 0,pause_status,position,pause_G,pause_C,context_G,context_C,gene,start_dist_rel,end_dist_rel,gene_len,ref_base_A,ref_base_C,ref_base_G,ref_base_T,trans_base_A,trans_base_C,trans_base_G,trans_base_T
0,0,1,-0.5133404761980311,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,0.3917751607672747,-0.3917751607672746,-1.5577649176570436,0,1,0,0,0,0,1,0
1,1,1,-0.5125402274615902,1.4539555452497166,0.3472844435589949,1.4539555428137343,0.3472844435548398,1,-0.32423105523272544,0.32423105523272544,-0.12426136906078741,0,1,0,0,0,1,0,0
2,2,1,-0.5114646104200413,1.4539555452497166,-0.2131379662056171,1.4539555428137343,-0.21313796985218594,1,0.24940809376727457,-0.24940809376727457,-0.5152168823143118,0,1,0,0,1,0,0,0
3,3,1,-0.5114335830053812,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,0.4003514897672745,-0.4003514897672746,-0.5152168823143118,0,0,1,0,1,0,0,0
4,4,1,-0.5113960915460003,-0.7795480796492813,-0.2131379662056171,-0.7795480773211387,-0.21313796985218594,1,0.0,0.0,0.0,0,0,0,1,0,0,0,1
5,5,1,-0.5112381533866543,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,-0.3645980952327254,0.36459809523272546,-0.9695705869062455,0,1,0,0,0,1,0,0
6,6,1,-0.5112019547362175,-1.3379239811278356,-0.7735603854974101,-1.337923982354857,-0.7735603832592121,1,-0.06830179923272545,0.06830179923272539,-0.9695705869062455,0,1,0,0,0,1,0,0
7,7,1,-0.509994255714206,0.8955796342787719,-1.3339827952620225,0.8955796377800159,-1.333982796666238,1,-0.20207438623272544,0.20207438623272533,-0.32854443004010647,0,1,0,0,0,0,0,1
8,8,1,-0.5092211559655927,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,0.21748256576727465,-0.2174825657672746,-0.5715708301706757,0,0,1,0,1,0,0,0
9,9,1,-0.5091030794153585,0.8955796342787719,0.9077068533236075,0.8955796377800159,0.9077068569618659,1,-0.2958150272327254,0.29581502723272546,-1.0435351434677231,0,0,0,1,0,1,0,0
10,10,1,-0.5090668807649218,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,0.037518306767274634,-0.03751830676727458,-1.0435351434677231,0,1,0,0,0,0,0,1
