,pause_status,position,pause_G,pause_C,context_G,context_C,gene,start_dist_rel,end_dist_rel,gene_len,ref_base_A,ref_base_C,ref_base_G,ref_base_T,trans_base_A,trans_base_C,trans_base_G,trans_base_T
0,1,-0.5133404761980311,0.3372037328002173,0.3472844435589949,0.3372037327462976,0.3472844435548398,1,0.3917751607672747,-0.3917751607672746,-1.5577649176570436,0,1,0,0,0,0,1,0
1,1,-0.5125402274615902,1.4539555452497166,0.3472844435589949,1.4539555428137343,0.3472844435548398,1,-0.32423105523272544,0.32423105523272544,-0.1242613690607874,0,1,0,0,0,1,0,0
2,1,-0.5114646104200413,1.4539555452497166,-0.2131379662056171,1.4539555428137343,-0.21313796985218594,1,0.24940809376727455,-0.24940809376727455,-0.5152168823143118,0,1,0,0,1,0,0,0
3,1,-0.5114335830053812,0.3372037328002173,0.3472844435589949,0.3372037327462976,0.3472844435548398,1,0.4003514897672745,-0.4003514897672746,-0.5152168823143118,0,0,1,0,1,0,0,0
4,1,-0.5113960915460003,-0.7795480796492813,-0.2131379662056171,-0.7795480773211387,-0.21313796985218594,1,0.0,0.0,0.0,0,0,0,1,0,0,0,1
5,1,-0.5112381533866543,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,-0.3645980952327254,0.3645980952327255,-0.9695705869062456,0,1,0,0,0,1,0,0
6,1,-0.5112019547362175,-1.3379239811278356,-0.7735603854974101,-1.337923982354857,-0.7735603832592121,1,-0.06830179923272545,0.06830179923272539,-0.9695705869062456,0,1,0,0,0,1,0,0
7,1,-0.509994255714206,0.8955796342787719,-1.3339827952620225,0.8955796377800159,-1.333982796666238,1,-0.20207438623272544,0.20207438623272533,-0.3285444300401065,0,1,0,0,0,0,0,1
8,1,-0.5092211559655927,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,0.21748256576727465,-0.2174825657672746,-0.5715708301706757,0,0,1,0,1,0,0,0
9,1,-0.5091030794153585,0.8955796342787719,0.9077068533236076,0.8955796377800159,0.907706856961866,1,-0.2958150272327254,0.29581502723272546,-1.0435351434677231,0,0,0,1,0,1,0,0
10,1,-0.5090668807649218,0.3372037328002173,0.9077068533236076,0.3372037327462976,0.907706856961866,1,0.03751830676727464,-0.03751830676727458,-1.0435351434677231,0,1,0,0,0,0,0,1
11,1,-0.50867666793194,2.012331446728271,-0.7735603854974101,2.0123314478474525,-0.7735603832592121,1,0.0148209047672746,-0.014820904767274544,-0.5293053692784028,0,1,0,0,0,1,0,0
12,1,-0.5086029778221224,-0.22117216867833686,-0.7735603854974101,-0.2211721722874204,-0.7735603832592121,1,0.3778782297672746,-0.3778782297672746,-0.5293053692784028,0,1,0,0,0,0,0,1
13,1,-0.5082558586206128,0.8955796342787719,-0.2131379662056171,0.8955796377800159,-0.21313796985218594,1,0.014697676767274626,-0.014697676767274568,1.6720207188608112,0,1,0,0,0,0,0,1
14,1,-0.5082157815433436,0.3372037328002173,-0.7735603854974101,0.3372037327462976,-0.7735603832592121,1,0.08072536576727463,-0.08072536576727457,1.6720207188608112,0,1,0,0,0,0,0,1
15,1,-0.5055952578135122,0.3372037328002173,-0.7735603854974101,0.3372037327462976,-0.7735603832592121,1,0.0,0.0,0.0,0,0,1,0,0,1,0,0
16,1,-0.5023296224205404,0.8955796342787719,-1.3339827952620225,0.8955796377800159,-1.333982796666238,1,-0.17941291023272538,0.17941291023272546,-1.1914642565906783,0,0,1,0,1,0,0,0
17,1,-0.5019370394378275,0.8955796342787719,0.9077068533236076,0.8955796377800159,0.907706856961866,1,0.25137112076727464,-0.2513711207672746,-0.4729514214220389,0,0,1,0,1,0,0,0
18,1,-0.5018387859580706,0.3372037328002173,-0.2131379662056171,0.3372037327462976,-0.21313796985218594,1,-0.33666306723272543,0.33666306723272543,-0.1242613690607874,0,0,1,0,0,0,1,0
19,1,-0.5016500358522219,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,0.3439896127672746,-0.3439896127672746,-0.1242613690607874,0,0,1,0,1,0,0,0
20,1,-0.501602417389445,-1.89629989209878,0.3472844435589949,-1.896299887388575,0.3472844435548398,1,0.0,0.0,0.0,0,0,1,0,1,0,0,0
21,1,-0.5013328667245858,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,0.016731732767274576,-0.016731732767274632,1.1296139707433088,0,1,0,0,0,0,1,0
22,1,-0.4979157572169886,0.8955796342787719,0.3472844435589949,0.8955796377800159,0.3472844435548398,1,0.1318226947672746,-0.13182269476727448,-0.7371105519987445,0,1,0,0,0,0,1,0
23,1,-0.4962732434534214,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,0.0,0.0,0.0,0,0,0,1,0,1,0,0
24,1,-0.4943995323570052,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.37579607423272543,0.3757960742327253,-0.4553408127169252,0,1,0,0,0,0,0,1
25,1,-0.4931685627739986,-0.7795480796492813,-0.2131379662056171,-0.7795480773211387,-0.21313796985218594,1,-0.03039003923272543,0.03039003923272543,0.11172078758773632,0,1,0,0,0,0,1,0
26,1,-0.4931351652096075,0.3372037328002173,0.3472844435589949,0.3372037327462976,0.3472844435548398,1,0.07377662676727459,-0.07377662676727459,0.11172078758773632,0,1,0,0,1,0,0,0
27,1,-0.4927968802025499,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,0.19172833476727455,-0.19172833476727455,-0.0397304472762416,0,0,1,0,0,1,0,0
28,1,-0.4926441132789806,0.3372037328002173,0.3472844435589949,0.3372037327462976,0.3472844435548398,1,-0.22515592323272546,0.22515592323272535,-0.3637656474503339,0,1,0,0,0,0,0,1
29,1,-0.4921358238957646,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.29493531723272537,0.2949353172327255,-0.1735710734351058,0,0,0,1,0,0,0,1
30,1,-0.4919074276489613,2.012331446728271,0.3472844435589949,2.0123314478474525,0.3472844435548398,1,-0.4300668552327254,0.4300668552327255,-0.3813762561554476,0,1,0,0,0,1,0,0
31,1,-0.4916719209529651,-0.22117216867833686,0.9077068533236076,-0.2211721722874204,0.907706856961866,1,-0.4689664012327254,0.4689664012327254,0.09763230062364536,0,1,0,0,0,0,0,1
32,1,-0.4909121802301083,0.3372037328002173,0.3472844435589949,0.3372037327462976,0.3472844435548398,1,-0.21871213523272545,0.21871213523272548,-0.15243834298896936,0,1,0,0,0,0,0,1
33,1,-0.4908555121047222,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.01047777223272539,0.01047777223272539,-0.15243834298896936,0,1,0,0,0,0,0,1
34,1,-0.4908350426297728,0.3372037328002173,-0.7735603854974101,0.3372037327462976,-0.7735603832592121,1,0.06473996276727456,-0.06473996276727463,-0.15243834298896936,0,0,0,1,1,0,0,0
35,1,-0.4902817204016683,0.3372037328002173,-1.3339827952620225,0.3372037327462976,-1.333982796666238,1,0.27016692176727464,-0.2701669217672746,-0.5574823432065847,0,1,0,0,0,0,0,1
36,1,-0.4901705388324698,0.8955796342787719,-1.8944052145538155,0.8955796377800159,-1.8944052100732642,1,-0.35206676723272545,0.35206676723272545,-1.0329687782446548,0,1,0,0,0,0,1,0
37,1,-0.49003005359387,0.3372037328002173,0.3472844435589949,0.3372037327462976,0.3472844435548398,1,-0.4448841152327254,0.4448841152327254,1.5417022144429695,0,1,0,0,0,1,0,0
38,1,-0.4889496962528591,-0.22117216867833686,0.9077068533236076,-0.2211721722874204,0.907706856961866,1,-0.4983328152327254,0.4983328152327254,-0.4095532300836296,0,1,0,0,0,0,0,1
39,1,-0.4879018746036098,-0.22117216867833686,1.4681292726154007,-0.2211721722874204,1.4681292703688922,1,0.12311540876727467,-0.1231154087672746,-0.5856593171347666,0,0,1,0,0,0,1,0
