,gene,gene_start,gene_end
0,thrL,189,255
1,thrA,336,2799
2,thrB,2800,3733
3,thrC,3733,5020
4,yaaX,5233,5530
5,yaaA,5682,6459
6,yaaJ,6528,7959
7,talB,8237,9191
8,mog,9305,9893
9,satP,9927,10494
10,yaaW,10642,11356
11,mbiA,10829,11315
12,yaaI,11381,11786
13,dnaK,12162,14079
14,dnaJ,14167,15298
15,insL-1,15444,16557
16,mokC,16750,16960
17,hokC,16750,16903
18,nhaA,17488,18655
19,nhaR,18714,19620
20,insB-1,19810,20314
21,insA-1,20232,20508
22,rpsT,20814,21078
23,yaaY,21180,21399
24,ribF,21406,22348
25,ileS,22390,25207
26,lspA,25206,25701
27,fkpB,25825,26275
28,ispH,26276,27227
29,rihC,27292,28207
30,dapB,28373,29195
31,carA,29650,30799
32,carB,30816,34038
33,caiF,34299,34695
34,caiE,34780,35371
35,caiD,35376,36162
36,caiC,36270,37824
37,caiB,37897,39115
38,caiA,39243,40386
39,caiT,40416,41931
40,fixA,42402,43173
41,fixB,43187,44129
42,fixC,44179,45466
43,fixX,45462,45750
44,yaaU,45806,47138
45,kefF,47245,47776
46,kefC,47768,49631
47,folA,49822,50302
48,apaH,50379,51222
49,apaG,51228,51606
50,rsmA,51608,52430
51,pdxA,52426,53416
52,surA,53415,54702
53,lptD,54754,57109
54,djlA,57363,58179
55,yabP,58473,59124
56,yabQ,59120,59279
57,rluA,59686,60346
58,rapA,60357,63264
59,polB,63428,65780
60,araD,65854,66550
61,araA,66834,68337
62,araB,68347,70048
63,araC,70386,71265
64,yabI,71350,72115
65,thiQ,72228,72927
66,thiP,72910,74521
67,thiB,74496,75480
68,sgrR,75643,77299
69,sgrT,77387,77519
70,setA,77620,78799
71,leuD,78847,79453
72,leuC,79463,80864
73,leuB,80866,81958
74,leuA,81957,83529
75,leuL,83621,83708
76,leuO,84367,85312
77,yabR,85466,85511
78,ilvI,85629,87354
79,ilvH,87356,87848
80,cra,88027,89032
81,mraZ,89633,90092
82,rsmH,90093,91035
83,ftsL,91031,91397
84,ftsI,91412,93179
85,murE,93165,94653
86,murF,94649,96008
87,mraY,96001,97084
88,murD,97086,98403
89,ftsW,98402,99647
90,murG,99643,100711
91,murC,100764,102240
92,ddlB,102232,103153
93,ftsQ,103154,103985
94,ftsA,103981,105244
